Survey Response Number,Q1_How many years have you worked for the City?,Q2_Have you ever transferred departments within the City?,AltQ3A_ Additional career advancement opportunities,AltQ3B_ Attractive retention incentives in the new department,AltQ3C_ Better compensation/salary,AltQ3D_ Better management/ co-workers/ department culture,AltQ3E_ Dissatisfaction with how I was treated in my previous department,AltQ3F_ More opportunities for telework/ flexible work hours,Q4A_I intend to be working for the City 1 year from now.,Q4B_I intend to be working for the City 5 years from now.,Q4C_I intend to retire from the City.,"Q5_Since becoming a City of Austin employee, when was the last time you applied for a job outside the City?","Q6A_Benefits (including insurance, vacation, etc.)",Q6B_Career advancement opportunities,Q6C_Commitment to public service,Q6D_Compensation/salary,Q6E_Fair and equitable treatment,Q6F_Management/ co-workers/ department culture,Q6G_Retirement/ pension,Q6H_Telework/ flexible work hours,Q7_Do the training and development opportunities offered by your department improve your desire to stay with the City?,Q8_Do the training and development opportunities offered by the City improve your desire to stay with the City?,Q9A_I am satisfied with my current work/life balance.,Q9B_I feel valued by my management.,Q9C_I would recommend my department to a friend.,Q9D_I would recommend the City as an employer to a friend.,Q10_What Department are you with?,Q11_Does the retention program offered by your department improve your desire to stay with the City? Retention program refers to any monetary incentives added to base pay.
11,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Extremely Likely,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Of Little Importance,Yes,No,Agree,Agree,Disagree,Disagree,Austin/Travis County Emergency Medical Services,
12,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Neither Important Nor Unimportant,Not Important At All,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,No,No,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fire Department,
13,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Agree,Agree,Agree,Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
14,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Unlikely,Extremely unlikely,Extremely Likely,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,No,Disagree,Agree,Disagree,Agree,Housing Department,
15,More than 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Of Little Importance,Absolutely Essential,Of Little Importance,Not Important At All,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Capital Delivery Services,
16,Between 1 and 5 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Neutral,Neutral,Neutral,Within the past 3 months,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Of Little Importance,Neither Important Nor Unimportant,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Neutral,Neutral,Disagree,Disagree,Austin Public Health,I am not aware of any retention programs offered by my department.
17,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Agree,Agree,Agree,Financial Services Department,
18,Less than a year,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Yes,Agree,Agree,Agree,Strongly Agree,Fleet Mobility Services,Yes
19,Less than a year,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Unlikely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Of Little Importance,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,No,Neutral,Agree,Neutral,Neutral,Financial Services Department,
20,11 to 15 years,"Yes, I have transferred between City departments.",Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Unlikely,Extremely unlikely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Agree,Agree,Neutral,Agree,Financial Services Department,
21,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Austin/Travis County Emergency Medical Services,
22,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Neutral,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Yes,Agree,Agree,Agree,Agree,Austin Water,Yes
23,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Unlikely,Unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Neutral,Agree,Strongly Agree,Agree,Parks and Recreation,
24,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Small and Minority Business Resources,
25,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Unlikely,3 months to 6 months ago,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Yes,No,Agree,Neutral,Agree,Strongly Agree,Austin Resource Recovery,I am not aware of any retention programs offered by my department.
26,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Extremely unlikely,Extremely unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Agree,Agree,Agree,Development Services Department,I am not aware of any retention programs offered by my department.
27,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Development Services Department,Yes
28,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Extremely unlikely,I have not applied for any jobs outside the City,Very Important,Absolutely Essential,Of Little Importance,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Disagree,Neutral,Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
29,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely unlikely,Extremely unlikely,Extremely unlikely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,No,No,Neutral,Agree,Neutral,Disagree,I Prefer Not to Disclose,
30,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Extremely unlikely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,No,No,Strongly Agree,Agree,Agree,Strongly Agree,Austin Public Health,No
31,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Yes,Yes,Agree,Agree,Agree,Agree,Human Resources,
32,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Unlikely,Unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Not Important At All,Absolutely Essential,Very Important,Of Little Importance,Neither Important Nor Unimportant,Very Important,No,No,Disagree,Neutral,Neutral,Agree,Human Resources,
33,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Agree,Agree,Agree,Neutral,Austin Public Library,I am not eligible for my department's retention program.
34,Between 1 and 5 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Unlikely,Extremely unlikely,Extremely unlikely,Within the past 3 months,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,No,No,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Development Services Department,No
35,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Agree,Austin/Travis County Emergency Medical Services,
36,6 to 10 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Yes,Yes,Agree,Agree,Agree,Neutral,Fleet Mobility Services,I am not eligible for my department's retention program.
37,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Neutral,Over 6 months ago,Very Important,Very Important,Very Important,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Very Important,Yes,No,Agree,Agree,Agree,Agree,Watershed Protection,No
38,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Unlikely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Yes,Yes,Agree,Agree,Agree,Agree,Austin Water,Yes
39,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Agree,Agree,Agree,Agree,Austin Public Health,I am not aware of any retention programs offered by my department.
40,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Of Little Importance,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Of Little Importance,No,No,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Police Department,
41,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Not Important At All,Very Important,Very Important,Very Important,Neither Important Nor Unimportant,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,I am unaware of any training or development opportunities offered by my department.,Yes,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Fire Department,
42,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Municipal Court,I am not aware of any retention programs offered by my department.
43,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,No,No,Agree,Disagree,Strongly Disagree,Strongly Disagree,Police Department,
44,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Neutral,Neutral,Within the past 3 months,Very Important,Very Important,Not Important At All,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Yes,No,Neutral,Agree,Strongly Disagree,Strongly Disagree,Financial Services Department,
45,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Yes,I am unaware of any training or development opportunities offered the City.,Agree,Agree,Neutral,Neutral,Austin Public Health,I am not aware of any retention programs offered by my department.
46,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Unlikely,Unlikely,Unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,No,No,Neutral,Agree,Agree,Neutral,Austin Resource Recovery,I am not aware of any retention programs offered by my department.
47,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,No,No,Agree,Agree,Agree,Agree,Austin Water,Yes
48,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,No,Strongly Agree,Agree,Agree,Strongly Agree,Communications and Technology Management,
49,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Unlikely,Extremely unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Of Little Importance,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Absolutely Essential,No,No,Strongly Agree,Strongly Agree,Agree,Agree,Police Department,
50,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Not Important At All,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Yes,Yes,Agree,Agree,Agree,Agree,Transportation and Public Works,Yes
51,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Capital Delivery Services,
52,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,No,No,Neutral,Neutral,Neutral,Agree,Parks and Recreation,
53,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Unlikely,Unlikely,I have not applied for any jobs outside the City,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Of Little Importance,Absolutely Essential,Yes,No,Strongly Agree,Strongly Agree,Strongly Agree,Agree,City Auditor,
54,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Neutral,Agree,Strongly Agree,Strongly Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
55,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,I am unaware of any training or development opportunities offered the City.,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Development Services Department,I am not aware of any retention programs offered by my department.
56,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Not Important At All,No,No,Strongly Disagree,Disagree,Neutral,Neutral,Austin/Travis County Emergency Medical Services,
57,More than 15 years,"Yes, I have transferred between City departments.",Very Important,Of Little Importance,Very Important,Very Important,Of Little Importance,Very Important,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Neutral,Agree,Strongly Agree,Strongly Agree,Watershed Protection,I am not aware of any retention programs offered by my department.
58,Between 1 and 5 years,"Yes, I have transferred between City departments.",Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,Absolutely Essential,Neutral,Neutral,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Neutral,Agree,Disagree,Disagree,Austin Convention Center,
59,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Yes,Yes,Agree,Neutral,Neutral,Agree,Austin 3-1-1,
60,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Unlikely,Unlikely,Over 6 months ago,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Very Important,No,No,Neutral,Agree,Neutral,Neutral,Municipal Court,No
61,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Yes,No,Agree,Agree,Strongly Agree,Strongly Agree,Austin Water,I am not eligible for my department's retention program.
62,More than 15 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Very Important,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Not Important At All,No,No,Agree,Agree,Agree,Agree,Communications and Technology Management,
